title,body,bert
The Bundle of Sticks,"An old man on the point of death summoned his sons around him to give them some parting advice. He ordered his servants to bring in a faggot of sticks, and said to his el-dest son: ‘Break it.’ The son strained and strained, but with all his efforts was unable to break the Bundle. The other sons also tried, but none of them was successful. ‘Untie the faggots,’ said the father, ‘and each of you take a stick.’ When they had done so, he called out to them: ‘Now, break,’ and each stick was easily broken. ‘You see my meaning,’ said their father.Union gives strength.","An old man on the point of death summoned his sons around him to give them some parting advice. He ordered his servants to bring in a faggot of sticks, and said to his el-dest son: ‘Break it.’"
"The Lion, the Fox, and the Beasts","The Lion once gave out that he was sick unto death and summoned the animals to come and hear his last Will and Testament. So the Goat came to the Lion’s cave, and stopped there listening for a long time. Then a Sheep went in, and before she came out a Calf came up to receive the last wish-es of the Lord of the Beasts. But soon the Lion seemed to recover, and came to the mouth of his cave, and saw the Fox, who had been waiting outside for some time. ‘Why do you not come to pay your respects to me?’ said the Lion to the Fox.‘I beg your Majesty’s pardon,’ said the Fox, ‘but I noticed the track of the animals that have already come to you; and while I see many hoof-marks going in, I see none coming out. Till the animals that have entered your cave come out again I prefer to remain in the open air.’It is easier to get into the enemy’s toils than out again.","The Lion once gave out that he was sick unto death and summoned the animals to come and hear his last Will and Testament. ‘I beg your Majesty’s pardon,’ said the Fox, ‘but I noticed the track of the animals that have already come to you; and while I see many hoof-marks going in, I see none coming out."
The Ass’s Brains,"The Lion and the Fox went hunting together. The Lion, on the advice of the Fox, sent a message to the Ass, propos-ing to make an alliance between their two families. The Ass came to the place of meeting, overjoyed at the prospect of a royal alliance. But when he came there the Lion simply pounced on the Ass, and said to the Fox: ‘Here is our dinner for to-day. Watch you here while I go and have a nap. Woe betide you if you touch my prey.’ The Lion went away and the Fox waited; but finding that his master did not return, ventured to take out the brains of the Ass and ate them up. When the Lion came back he soon noticed the absence of the brains, and asked the Fox in a terrible voice: ‘What have you done with the brains?’‘Brains, your Majesty! it had none, or it would never have fallen into your trap.’Wit has always an answer ready.","The Lion and the Fox went hunting together. The Lion, on the advice of the Fox, sent a message to the Ass, propos-ing to make an alliance between their two families."
The Eagle and the Arrow,"An Eagle was soaring through the air when suddenly it heard the whizz of an Arrow, and felt itself wounded to death. Slowly it fluttered down to the earth, with its life-blood pouring out of it. Looking down upon the Arrow with which it had been pierced, it found that the shaft of the Arrow had been feathered with one of its own plumes. ‘Alas!’ it cried, as it died,‘We often give our enemies the means for our own de-struction.’","An Eagle was soaring through the air when suddenly it heard the whizz of an Arrow, and felt itself wounded to death."
The Milkmaid and Her Pail,"Patty the Milkmaid was going to market carrying her milk in a Pail on her head. As she went along she began calculat-ing what she would do with the money she would get for the milk. ‘I’ll buy some fowls from Farmer Brown,’ said she, ‘and they will lay eggs each morning, which I will sell to the parson’s wife. With the money that I get from the sale of these eggs I’ll buy myself a new dimity frock and a chip hat; and when I go to market, won’t all the young men come up and speak to me! Polly Shaw will be that jealous; but I don’t care. I shall just look at her and toss my head like this. As she spoke she tossed her head back, the Pail fell off it, and all the milk was spilt. So she had to go home and tell her mother what had occurred.‘Ah, my child,’ said the mother,‘Do not count your chickens before they are hatched.’","Patty the Milkmaid was going to market carrying her milk in a Pail on her head. With the money that I get from the sale of these eggs I’ll buy myself a new dimity frock and a chip hat; and when I go to market, won’t all the young men come up and speak to me!"
The Cat-Maiden,"The gods were once disputing whether it was possible for a living being to change its nature. Jupiter said ‘Yes,’ but Venus said ‘No.’ So, to try the question, Jupiter turned a Cat into a Maiden, and gave her to a young man for a wife. The wedding was duly performed and the young couple sat down to the wedding-feast. ‘See,’ said Jupiter, to Venus, ‘how becomingly she behaves. Who could tell that yesterday she was but a Cat? Surely her nature is changed?’‘Wait a minute,’ replied Venus, and let loose a mouse into the room. No sooner did the bride see this than she jumped up from her seat and tried to pounce upon the mouse. ‘Ah, you see,’ said Venus,‘Nature will out.’","The gods were once disputing whether it was possible for a living being to change its nature. Surely her nature is changed?’‘Wait a minute,’ replied Venus, and let loose a mouse into the room."
The Horse and the Ass,"A Horse and an Ass were travelling together, the Horse prancing along in its fine trappings, the Ass carrying with difficulty the heavy weight in its panniers. ‘I wish I were you,’ sighed the Ass; ‘nothing to do and well fed, and all that fine harness upon you.’ Next day, however, there was a great battle, and the Horse was wounded to death in the fi-nal charge of the day. His friend, the Ass, happened to pass by shortly afterwards and found him on the point of death. ‘I was wrong,’ said the Ass:‘Better humble security than gilded danger.’","A Horse and an Ass were travelling together, the Horse prancing along in its fine trappings, the Ass carrying with difficulty the heavy weight in its panniers. ‘"
The Trumpeter Taken Prisoner,"A Trumpeter during a battle ventured too near the enemy and was captured by them. They were about to proceed to put him to death when he begged them to hear his plea for mercy. ‘I do not fight,’ said he, ‘and indeed carry no weapon; I only blow this trumpet, and surely that cannot harm you; then why should you kill me?’‘You may not fight yourself,’ said the others, ‘but you en-courage and guide your men to the fight.’Words may be deeds.","A Trumpeter during a battle ventured too near the enemy and was captured by them. I do not fight,’ said he, ‘and indeed carry no weapon; I only blow this trumpet, and surely that cannot harm you; then why should you kill me?’‘You may not fight yourself,’ said the others, ‘but you en-courage and guide your men to the fight."
The Buffoon and the Countryman,"At a country fair there was a Buffoon who made all the people laugh by imitating the cries of various animals. He finished off by squeaking so like a pig that the spectators thought that he had a porker concealed about him. But a Countryman who stood by said: ‘Call that a pig s squeak! Nothing like it. You give me till tomorrow and I will show you what it’s like.’ The audience laughed, but next day, sure enough, the Countryman appeared on the stage, and putting his head down squealed so hideously that the spec-tators hissed and threw stones at him to make him stop. ‘You fools!’ he cried, ‘see what you have been hissing,’ and held up a little pig whose ear he had been pinching to make him utter the squeals.Men often applaud an imitation and hiss the real thing.","At a country fair there was a Buffoon who made all the people laugh by imitating the cries of various animals. he cried, ‘see what you have been hissing,’ and held up a little pig whose ear he had been pinching to make him utter the squeals."
The Old Woman and the Wine-Jar,"You must know that sometimes old women like a glass of wine. One of this sort once found a Wine-jar lying in the road, and eagerly went up to it hoping to find it full. But when she took it up she found that all the wine had been drunk out of it. Still she took a long sniff at the mouth of the Jar. ‘Ah,’ she cried,‘What memories cling ‘round the instruments of our pleasure.’",You must know that sometimes old women like a glass of wine.
The Fox and the Goat,"By an unlucky chance a Fox fell into a deep well from which he could not get out. A Goat passed by shortly afterwards, and asked the Fox what he was doing down there. ‘Oh, have you not heard?’ said the Fox; ‘there is going to be a great drought, so I jumped down here in order to be sure to have water by me. Why don’t you come down too?’ The Goat thought well of this advice, and jumped down into the well. But the Fox immediately jumped on her back, and by put-ting his foot on her long horns managed to jump up to the edge of the well. ‘Good-bye, friend,’ said the Fox, ‘remem-ber next time,‘Never trust the advice of a man in difficulties.’","By an unlucky chance a Fox fell into a deep well from which he could not get out. But the Fox immediately jumped on her back, and by put-ting his foot on her long horns managed to jump up to the edge of the well. ‘"
