title,body,bert
The Four Oxen and the Lion,"A Lion used to prowl about a field in which Four Oxen used to dwell. Many a time he tried to attack them; but when-ever he came near they turned their tails to one another, so that whichever way he approached them he was met by the horns of one of them. At last, however, they fell a-quarrel-ling among themselves, and each went off to pasture alone in a separate corner of the field. Then the Lion attacked them one by one and soon made an end of all four.United we stand, divided we fall.","A Lion used to prowl about a field in which Four Oxen used to dwell. Many a time he tried to attack them; but when-ever he came near they turned their tails to one another, so that whichever way he approached them he was met by the horns of one of them."
The Fisher and the Little Fish ,"It happened that a Fisher, after fishing all day, caught only a little fish. ‘Pray, let me go, master,’ said the Fish. ‘I am much too small for your eating just now. If you put me back into the river I shall soon grow, then you can make a fine meal off me.’‘Nay, nay, my little Fish,’ said the Fisher, ‘I have you now. I may not catch you hereafter.’A little thing in hand is worth more than a great thing in prospect.","It happened that a Fisher, after fishing all day, caught only a little fish. ‘"
Avaricious and Envious,"Two neighbours came before Jupiter and prayed him to grant their hearts’ desire. Now the one was full of avarice, and the other eaten up with envy. So to punish them both, Jupiter granted that each might have whatever he wished for himself, but only on condition that his neighbour had twice as much. The Avaricious man prayed to have a room full of gold. No sooner said than done; but all his joy was turned to grief when he found that his neighbour had two rooms full of the precious metal. Then came the turn of the Envi-ous man, who could not bear to think that his neighbour had any joy at all. So he prayed that he might have one of his own eyes put out, by which means his companion would become totally blind.Vices are their own punishment.","Two neighbours came before Jupiter and prayed him to grant their hearts’ desire. So to punish them both, Jupiter granted that each might have whatever he wished for himself, but only on condition that his neighbour had twice as much."
The Crow and the Pitcher,"A Crow, half-dead with thirst, came upon a Pitcher which had once been full of water; but when the Crow put its beak into the mouth of the Pitcher he found that only very little water was left in it, and that he could not reach far enough down to get at it. He tried, and he tried, but at last had to give up in despair. Then a thought came to him, and he took a pebble and dropped it into the Pitcher. Then he took an-other pebble and dropped it into the Pitcher. Then he took another pebble and dropped that into the Pitcher. Then he took another pebble and dropped that into the Pitch-er. Then he took another pebble and dropped that into the Pitcher. Then he took another pebble and dropped that into the Pitcher. At last, at last, he saw the water mount up near him, and after casting in a few more pebbles he was able to quench his thirst and save his life.Little by little does the trick.","A Crow, half-dead with thirst, came upon a Pitcher which had once been full of water; but when the Crow put its beak into the mouth of the Pitcher he found that only very little water was left in it, and that he could not reach far enough down to get at it. Then he took an-other pebble and dropped it into the Pitcher."
The Man and the Satyr,"A Man had lost his way in a wood one bitter winter’s night. As he was roaming about, a Satyr came up to him, and find-ing that he had lost his way, promised to give him a lodging for the night, and guide him out of the forest in the morn-ing. As he went along to the Satyr’s cell, the Man raised both his hands to his mouth and kept on blowing at them. ‘What do you do that for?’ said the Satyr.‘My hands are numb with the cold,’ said the Man, ‘and my breath warms them.’After this they arrived at the Satyr’s home, and soon the Satyr put a smoking dish of porridge before him. But when the Man raised his spoon to his mouth he began blowing upon it. ‘And what do you do that for?’ said the Satyr.‘The porridge is too hot, and my breath will cool it.’‘Out you go,’ said the Satyr. ‘I will have nought to do with a man who can blow hot and cold with the same breath.’","A Man had lost his way in a wood one bitter winter’s night. As he went along to the Satyr’s cell, the Man raised both his hands to his mouth and kept on blowing at them. ‘"
The Goose With the Golden Eggs ,"One day a countryman going to the nest of his Goose found there an egg all yellow and glittering. When he took it up it was as heavy as lead and he was going to throw it away, because he thought a trick had been played upon him. But he took it home on second thoughts, and soon found to his delight that it was an egg of pure gold. Every morning the same thing occurred, and he soon became rich by selling his eggs. As he grew rich he grew greedy; and thinking to get at once all the gold the Goose could give, he killed it and opened it only to find nothing.Greed oft o’er reaches itself.","One day a countryman going to the nest of his Goose found there an egg all yellow and glittering. But he took it home on second thoughts, and soon found to his delight that it was an egg of pure gold."
The Labourer and the Nightingale,"A Labourer lay listening to a Nightingale’s song throughout the summer night. So pleased was he with it that the next night he set a trap for it and captured it. ‘Now that I have caught thee,’ he cried, ‘thou shalt always sing to me.’‘We Nightingales never sing in a cage.’ said the bird.‘Then I’ll eat thee.’ said the Labourer. ‘I have always heard say that a nightingale on toast is dainty morsel.’‘Nay, kill me not,’ said the Nightingale; ‘but let me free, and I’ll tell thee three things far better worth than my poor body.’ The Labourer let him loose, and he flew up to a branch of a tree and said: ‘Never believe a captive’s promise; that’s one thing. Then again: Keep what you have. And third piece of advice is: Sorrow not over what is lost forever.’ Then the song-bird flew away.","A Labourer lay listening to a Nightingale’s song throughout the summer night. ’‘Nay, kill me not,’ said the Nightingale; ‘but let me free, and I’ll tell thee three things far better worth than my poor body.’"
"The Fox, the Cock, and the Dog","One moonlight night a Fox was prowling about a farmer’s hen-coop, and saw a Cock roosting high up beyond his reach. ‘Good news, good news!’ he cried.‘Why, what is that?’ said the Cock.‘King Lion has declared a universal truce. No beast may hurt a bird henceforth, but all shall dwell together in broth-erly friendship.’‘Why, that is good news,’ said the Cock; ‘and there I see some one coming, with whom we can share the good tid-ings.’ And so saying he craned his neck forward and looked afar off.‘What is it you see?’ said the Fox.‘It is only my master’s Dog that is coming towards us. What, going so soon?’ he continued, as the Fox began to turn away as soon as he had heard the news. ‘Will you not stop and congratulate the Dog on the reign of universal peace?’‘I would gladly do so,’ said the Fox, ‘but I fear he may not have heard of King Lion’s decree.’Cunning often outwits itself.","One moonlight night a Fox was prowling about a farmer’s hen-coop, and saw a Cock roosting high up beyond his reach. ‘ Will you not stop and congratulate the Dog on the reign of universal peace?’‘I would gladly do so,’ said the Fox, ‘but I fear he may not have heard of King Lion’s decree."
The Wind and the Sun,"The Wind and the Sun were disputing which was the stron-ger. Suddenly they saw a traveller coming down the road, and the Sun said: ‘I see a way to decide our dispute. Which-ever of us can cause that traveller to take off his cloak shall be regarded as the stronger. You begin.’ So the Sun retired behind a cloud, and the Wind began to blow as hard as it could upon the traveller. But the harder he blew the more closely did the traveller wrap his cloak round him, till at last the Wind had to give up in despair. Then the Sun came out and shone in all his glory upon the traveller, who soon found it too hot to walk with his cloak on.Kindness effects more than severity.","The Wind and the Sun were disputing which was the stron-ger. But the harder he blew the more closely did the traveller wrap his cloak round him, till at last the Wind had to give up in despair."
Hercules and the Waggoner,"A Waggoner was once driving a heavy load along a very muddy way. At last he came to a part of the road where the wheels sank half-way into the mire, and the more the horses pulled, the deeper sank the wheels. So the Waggoner threw down his whip, and knelt down and prayed to Hercules the Strong. ‘O Hercules, help me in this my hour of distress,’ quoth he. But Hercules appeared to him, and said:‘Tut, man, don’t sprawl there. Get up and put your shoul-der to the wheel.’The gods help them that help themselves.","A Waggoner was once driving a heavy load along a very muddy way. At last he came to a part of the road where the wheels sank half-way into the mire, and the more the horses pulled, the deeper sank the wheels."
